label ID,root_path,filename,output_path
N1616,MU\1.2.392.200036.9116.2.6.1.48.1215780058.1595283802.490100\1.2.392.200036.9116.2.6.1.48.1215780058.1595286344.274290,,data\cores\N1616.nii.gz
N1707,MU\DICOM_15\0000\002,,data\cores\N1707.nii.gz
N1708,MU\DICOM_15\0000\002,,data\cores\N1708.nii.gz
N1710,MU\DICOM_14\0000\002,,data\cores\N1710.nii.gz
N1711,MU\DICOM_04\0000\003,,data\cores\N1711.nii.gz
N1712,MU\DICOM_17\0000\003,,data\cores\N1712.nii.gz
N1713,MU\DICOM_14\0000\003,,data\cores\N1713.nii.gz
N1714,MU\DICOM_16\0000\003,,data\cores\N1714.nii.gz
N1715,MU\DICOM_15\0000\002,,data\cores\N1715.nii.gz
N1717,MU\DICOM_17\0000\003,,data\cores\N1717.nii.gz
N1718,MU\DICOM_17\0000\002,,data\cores\N1718.nii.gz
N1803,MU\DICOM_03\0000\001,,data\cores\N1803.nii.gz
N1804,MU\DICOM_04\0000\002,,data\cores\N1804.nii.gz
N1808,MU\DICOM_12\0000\003,,data\cores\N1808.nii.gz
N1810,MU\DICOM_08\0000\002,,data\cores\N1810.nii.gz
N1811,MU\DICOM_17\0000\002,,data\cores\N1811.nii.gz
N1812,MU\DICOM_15\0000\003,,data\cores\N1812.nii.gz
N1813,MU\DICOM_09\0000\002,,data\cores\N1813.nii.gz
N1818,MU\DICOM_16\0000\002,,data\cores\N1818.nii.gz
N1901,MU\SOIL64_2_8_19_20_1,SOIL_FRIT_8_19_20_1Series_004_Bone 0.5 SCAN 4,data\cores\N1901.nii.gz
N1905,MU\SOIL64_8_7_20,SOIL_FRIT_8_7_20Series_004_Bone 0.5 SCAN 2,data\cores\N1905.nii.gz
N1907,MU\DICOM_14\0000\003,,data\cores\N1907.nii.gz
N1908,MU\DICOM_15\0000\003,,data\cores\N1908.nii.gz
N1909,MU\DICOM_16\0000\002,,data\cores\N1909.nii.gz
N1911,MU\SOIL64_2_8_19_20_1,SOIL_FRIT_8_19_20_1Series_003_Bone 0.5 SCAN 3,data\cores\N1911.nii.gz
N1913,MU\DICOM_15\0000\003,,data\cores\N1913.nii.gz
N1914,MU\SOIL_8_10_20_1,SOIL_8_10_20_1Series_003_Bone 0.5 SCAN 3,data\cores\N1914.nii.gz
N1916,MU\SOIL64_2_8_12_20_1,SOIL_FRIT_8_12_20_1Series_003_Bone 0.5 SCAN 3,data\cores\N1916.nii.gz
N2005,MU\DICOM_08\0000\002,,data\cores\N2005.nii.gz
N2006,MU\DICOM_12\0000\003,,data\cores\N2006.nii.gz
N2009,MU\SOIL64_2_8_7_20_1,SOIL_FRIT_8_7_20_1Series_003_Bone 0.5 SCAN 3,data\cores\N2009.nii.gz
N2010,MU\SOIL64_4_8_7_20_3,SOIL_FRIT_8_7_20_3Series_003_Bone 0.5 SCAN 7,data\cores\N2010.nii.gz
N2013,MU\SOIL64_2_8_5_20_1,SOIL_FRIT_8_5_20_1Series_003_Bone 0.5 SCAN 3,data\cores\N2013.nii.gz
N2015,MU\SOIL64_4_8_7_20_3,SOIL_FRIT_8_7_20_3Series_004_Bone 0.5 SCAN 8,data\cores\N2015.nii.gz
N2102,MU\SOIL64_2_8_7_20_1,SOIL_FRIT_8_7_20_1Series_003_Bone 0.5 SCAN 3,data\cores\N2102.nii.gz
N2104,MU\SOIL64_8_19_20,SOIL_FRIT_8_19_20Series_004_Bone 0.5 SCAN 2,data\cores\N2104.nii.gz
N2116,MU\DICOM_14\0000\002,,data\cores\N2116.nii.gz
N2119,MU\SOIL64_3_8_7_20_2,SOIL_FRIT_8_7_20_2Series_004_Bone 0.5 SCAN 6,data\cores\N2119.nii.gz
N2207,MU\DICOM_07\0000\002,,data\cores\N2207.nii.gz
N2208,MU\DICOM_10\0000\003,,data\cores\N2208.nii.gz
N2211,MU\DICOM_11\0000\002,,data\cores\N2211.nii.gz
N2212,MU\DICOM_06\0000\003,,data\cores\N2212.nii.gz
N2214,MU\DICOM_09\0000\002,,data\cores\N2214.nii.gz
N2215,MU\DICOM_09\0000\003,,data\cores\N2215.nii.gz
N2217,MU\1.2.392.200036.9116.2.6.1.48.1215780058.1595286993.745337\1.2.392.200036.9116.2.6.1.48.1215780058.1595288589.453336,,data\cores\N2217.nii.gz
N2218,MU\DICOM_12\0000\003,,data\cores\N2218.nii.gz
N2303,MU\DICOM_07\0000\001,,data\cores\N2303.nii.gz
N2307,MU\DICOM_13\0000\002,,data\cores\N2307.nii.gz
N2310,MU\DICOM_11\0000\002,,data\cores\N2310.nii.gz
N2313,MU\DICOM_05\0000\003,,data\cores\N2313.nii.gz
N2317,MU\DICOM_10\0000\002,,data\cores\N2317.nii.gz
N2319,MU\SOIL64_8_19_20,SOIL_FRIT_8_19_20Series_004_Bone 0.5 SCAN 2,data\cores\N2319.nii.gz
N2401,MU\DICOM_10\0000\002,,data\cores\N2401.nii.gz
N2402,MU\1.2.392.200036.9116.2.6.1.48.1215780058.1595283802.490100\1.2.392.200036.9116.2.6.1.48.1215780058.1595287862.752297,,data\cores\N2402.nii.gz
N2407,MU\1.2.392.200036.9116.2.6.1.48.1215780058.1595283802.490100\1.2.392.200036.9116.2.6.1.48.1215780058.1595284925.669787,,data\cores\N2407.nii.gz
N2410,MU\DICOM_07\0000\002,,data\cores\N2410.nii.gz
N2415,MU\1.2.392.200036.9116.2.6.1.48.1215780058.1595283802.490100\1.2.392.200036.9116.2.6.1.48.1215780058.1595287862.752297,,data\cores\N2415.nii.gz
N2417,MU\1.2.392.200036.9116.2.6.1.48.1215780058.1595283802.490100\1.2.392.200036.9116.2.6.1.48.1215780058.1595287862.752297,,data\cores\N2417.nii.gz
N2419,MU\1.2.392.200036.9116.2.6.1.48.1215780058.1595283802.490100\1.2.392.200036.9116.2.6.1.48.1215780058.1595286823.407965,,data\cores\N2419.nii.gz
N2504,MU\DICOM_06\0000\002,,data\cores\N2504.nii.gz
N2507,MU\DICOM_11\0000\002,,data\cores\N2507.nii.gz
N2511,MU\DICOM_11\0000\003,,data\cores\N2511.nii.gz
N2512,MU\1.2.392.200036.9116.2.6.1.48.1215780058.1595285958.309379\1.2.392.200036.9116.2.6.1.48.1215780058.1595288330.740337,,data\cores\N2512.nii.gz
N2513,MU\DICOM_06\0000\003,,data\cores\N2513.nii.gz
N2514,MU\DICOM_10\0000\002,,data\cores\N2514.nii.gz
N2515,MU\1.2.392.200036.9116.2.6.1.48.1215780058.1595287197.971648\1.2.392.200036.9116.2.6.1.48.1215780058.1595288835.219698,,data\cores\N2515.nii.gz
N2516,MU\DICOM_11\0000\003,,data\cores\N2516.nii.gz
N2518,MU\1.2.392.200036.9116.2.6.1.48.1215780058.1595287197.971648\1.2.392.200036.9116.2.6.1.48.1215780058.1595288835.219698,,data\cores\N2518.nii.gz
N2601,MU\SOIL_8_10_20_2,SOIL_8_10_20_2Series_003_Bone 0.5 SCAN 5,data\cores\N2601.nii.gz
N2602,MU\SOIL_8_10_20_2,SOIL_8_10_20_2Series_004_Bone 0.5 SCAN 6,data\cores\N2602.nii.gz
N2603,MU\SOIL64_3_8_12_20_2,SOIL_FRIT_8_12_20_2Series_004_Bone 0.5 SCAN 6,data\cores\N2603.nii.gz
N2616,MU\SOIL64_8_10_20,SOIL_FRIT_8_10_20Series_003_Bone 0.5 SCAN 1.2,data\cores\N2616.nii.gz
N2617,MU\SOIL64_8_10_20,SOIL_FRIT_8_10_20Series_005_Bone 0.5 SCAN 2,data\cores\N2617.nii.gz
N2618,MU\SOIL_8_10_20_5,SOIL_8_10_20_5Series_004_Bone 0.5 SCAN 12,data\cores\N2618.nii.gz
N2620,MU\SOIL_8_10_20_5,SOIL_8_10_20_5Series_004_Bone 0.5 SCAN 12,data\cores\N2620.nii.gz
N2703,MU\SOIL64_3_8_7_20_2,SOIL_FRIT_8_7_20_2Series_003_Bone 0.5 SCAN 5,data\cores\N2703.nii.gz
N2707,MU\DICOM_08\0000\002,,data\cores\N2707.nii.gz
N2714,MU\SOIL_8_10_20_2,SOIL_8_10_20_2Series_003_Bone 0.5 SCAN 5,data\cores\N2714.nii.gz
N2715,MU\DICOM_17\0000\002,,data\cores\N2715.nii.gz
N2716,MU\SOIL64_3_8_12_20_2,SOIL_FRIT_8_12_20_2Series_003_Bone 0.5 SCAN 5,data\cores\N2716.nii.gz
N2719,MU\SOIL64_2_8_12_20_1,SOIL_FRIT_8_12_20_1Series_003_Bone 0.5 SCAN 3,data\cores\N2719.nii.gz
N2801,MU\SOIL64_2_8_19_20_1,SOIL_FRIT_8_19_20_1Series_004_Bone 0.5 SCAN 4,data\cores\N2801.nii.gz
N2802,MU\DICOM_07\0000\002,,data\cores\N2802.nii.gz
N2805,MU\SOIL64_4_8_12_20_3,SOIL_FRIT_8_12_20_3Series_003_Bone 0.5 SCAN 7,data\cores\N2805.nii.gz
N2813,MU\SOIL64_4_8_10_20_3,SOIL_FRIT_8_10_20_3Series_003_Bone 0.5 SCAN 7,data\cores\N2813.nii.gz
